attract  v.吸引，引起，诱惑
attraction  n.吸引，吸引力，引力
away  ad.离开，走(开)
awkward  a.笨拙的，尴尬的
cell  n.细胞，小房间，蜂房
cement  n.水泥，胶泥 v.粘结
center  n.中心
cheap  a.廉价的，劣质的
cheat  v.骗取，哄 v.行骗
Christianity  n.基督教
chromosome  n.染色体
friendly  a.友好的，友谊的
frighten  v.使惊恐，吓唬
furniture  n.家具，装置，设备
further  ad.更远地 a.更远的
Internet  n.因特网，国际互联网
interpretation  n.解释，口译
inverse  n.反面，倒数 a.(数量、位置)相反的，反向的
knife  n.小刀，刀，餐刀
knock  v.&n.敲，击，打
owe  v.欠，应把…归功于
permit  v.允许 n.执照
political  a.政治的，政治上的
Psychology  n.心理学
pull  v.拖，划，拔，拉，拉力，吸引，登山 pull up上拉，停车
ribonucleic  n.核糖核的
rice  n.稻，米，饭
sick  a.有病的，恶心的
sixty  num.六十
skate  n.冰鞋，滑冰 v.滑冰
skin  n.皮，兽皮，外皮
